ip	trapeze	contry	city	count	index	
92.223.85.103	(103.6839, 1.314)	Singapore	None	1	1	
223.252.199.69	(116.3883, 39.9289)	China	None	1	2	
120.131.14.181	(116.3883, 39.9289)	China	None	1	3	
183.57.48.55	(113.25, 23.1167)	China	None	1	4	
54.223.180.103	(116.3889, 39.9288)	China	Beijing	2	5	
130.198.91.107	(151.2002, -33.8591)	Australia	Sydney	4	6	
203.208.39.223	(116.3889, 39.9288)	China	Beijing	5	7	
125.77.142.169	(118.0819, 24.4798)	China	Xiamen	6	8	
114.55.207.244	(120.1619, 30.294)	China	Hangzhou	6	9	
154.8.190.35	(116.3883, 39.9289)	China	None	9	10	
27.148.207.21	(118.0819, 24.4798)	China	None	9	11	
47.244.15.210	(114.15, 22.2909)	Hong Kong	Central	16	12	
14.215.177.39	(113.25, 23.1167)	China	None	18	13	
