packet_id	packet_time	src	dst	proto	length	info
1	2020-03-23 13:01:53	192.168.1.8	183.57.48.55	Http	66	Ether / IP / TCP 192.168.1.8:12396 > 183.57.48.55:http S
2	2020-03-23 13:01:53	183.57.48.55	192.168.1.8	Http	66	Ether / IP / TCP 183.57.48.55:http > 192.168.1.8:12396 SA
3	2020-03-23 13:01:53	192.168.1.8	183.57.48.55	Http	54	Ether / IP / TCP 192.168.1.8:12396 > 183.57.48.55:http A
4	2020-03-23 13:01:54	fe80::1	fe80::bd54:c78a:25f1:695	ICMPv6	86	Ether / IPv6 / ICMPv6ND_NS / ICMPv6 Neighbor Discovery Option - Source Link-Layer Address 9c:d2:4b:38:91:c1
5	2020-03-23 13:01:54	fe80::bd54:c78a:25f1:695	fe80::1	ICMPv6	86	Ether / IPv6 / ICMPv6ND_NA / ICMPv6 Neighbor Discovery Option - Destination Link-Layer Address b4:6b:fc:17:92:60
6	2020-03-23 13:01:54	fe80::bd54:c78a:25f1:695	fe80::1	DNS	102	Ether / IPv6 / UDP / DNS Qry "b'analytics.yinxiang.com.'" 
7	2020-03-23 13:01:54	fe80::1	fe80::bd54:c78a:25f1:695	DNS	175	Ether / IPv6 / UDP / DNS Ans 
8	2020-03-23 13:01:54	192.168.1.8	154.8.190.35	Https	66	Ether / IP / TCP 192.168.1.8:12397 > 154.8.190.35:https S
9	2020-03-23 13:01:54	154.8.190.35	192.168.1.8	Https	66	Ether / IP / TCP 154.8.190.35:https > 192.168.1.8:12397 SA
10	2020-03-23 13:01:54	192.168.1.8	154.8.190.35	Https	54	Ether / IP / TCP 192.168.1.8:12397 > 154.8.190.35:https A
11	2020-03-23 13:01:54	192.168.1.8	154.8.190.35	Https	237	Ether / IP / TCP 192.168.1.8:12397 > 154.8.190.35:https PA / Raw
12	2020-03-23 13:01:54	154.8.190.35	192.168.1.8	Https	54	Ether / IP / TCP 154.8.190.35:https > 192.168.1.8:12397 A
13	2020-03-23 13:01:54	154.8.190.35	192.168.1.8	Https	1486	Ether / IP / TCP 154.8.190.35:https > 192.168.1.8:12397 A / Raw
14	2020-03-23 13:01:54	154.8.190.35	192.168.1.8	Https	1486	Ether / IP / TCP 154.8.190.35:https > 192.168.1.8:12397 A / Raw
15	2020-03-23 13:01:54	154.8.190.35	192.168.1.8	Https	744	Ether / IP / TCP 154.8.190.35:https > 192.168.1.8:12397 PA / Raw
16	2020-03-23 13:01:54	192.168.1.8	154.8.190.35	Https	54	Ether / IP / TCP 192.168.1.8:12397 > 154.8.190.35:https A
17	2020-03-23 13:01:54	192.168.1.8	154.8.190.35	Https	180	Ether / IP / TCP 192.168.1.8:12397 > 154.8.190.35:https PA / Raw
18	2020-03-23 13:01:54	154.8.190.35	192.168.1.8	Https	328	Ether / IP / TCP 154.8.190.35:https > 192.168.1.8:12397 PA / Raw
19	2020-03-23 13:01:54	192.168.1.8	154.8.190.35	Https	1475	Ether / IP / TCP 192.168.1.8:12397 > 154.8.190.35:https PA / Raw
20	2020-03-23 13:01:54	154.8.190.35	192.168.1.8	Https	352	Ether / IP / TCP 154.8.190.35:https > 192.168.1.8:12397 PA / Raw
